Time_s,Height_m,X_m,Y_m,Roll_deg,Pitch_deg,Yaw_deg
1,3.60126583824331,0.162943736205346,0.339458966087688,6.27088722697773,-3.279355087926,3.0338965106234
1.1,3.87956603455859,0.193261068292913,0.403169267225481,6.61849184902962,-3.46301390083236,3.20111176859673
1.2,4.10180304613326,0.225671595827947,0.471552047060561,6.93357580185314,-3.62851336700286,3.35342829423297
1.3,4.27905571565085,0.260844006332674,0.546138876905521,7.21925283182518,-3.77749838939902,3.49233300103167
1.4,4.42036287025692,0.299358860903228,0.628283922182941,7.47832675852531,-3.91148862338095,3.61913263011898
1.5,4.53299140787616,0.341708114297579,0.719157812659209,7.71332450392636,-4.03188315999118,3.73498034540218
1.6,4.62275316882943,0.388302582259481,0.819759802082914,7.92652515933871,-4.13996634325214,3.84089791242043
1.701,4.69492384599287,0.440017400628377,0.932103001288532,8.12182701613862,-4.23783121996799,3.93872044558682
1.8,4.75129434421881,0.495521964317904,1.05339450269884,8.29556351900264,-4.32380154162114,4.02648077275523
1.9,4.79672477506218,0.556648056606726,1.18772951090823,8.4549370599666,-4.40160831269527,4.10768468827542
2,4.83293100422751,0.623038537511026,1.33443077339492,8.59962339117635,-4.47122699307351,4.18205961571994
2.1,4.8617882159781,0.694833934076784,1.49390115413938,8.73099447979444,-4.53346896177482,4.25019495053614
2.2,4.88479106342654,0.772142538038354,1.66646851341528,8.85029151003776,-4.58907093031736,4.31262363045469
2.3,4.90313077742804,0.855045566322896,1.85239659980779,8.95863774222008,-4.63870100129077,4.36982875923994
2.401,4.91788687758166,0.944515807050306,2.05395852946991,9.05798719057311,-4.68338181089984,4.42275068311334
2.5,4.92942520785052,1.03785005886475,2.26512438167754,9.14644923446006,-4.72240872792486,4.47028470711861
2.6,4.93873909716445,1.13781481780669,2.49220897271713,9.22766939755443,-4.75752914971109,4.51429951854407
2.7,4.94617851496056,1.24350635780938,2.73323680004991,9.30146623480435,-4.78877282884284,4.55462654221958
2.8,4.95212596451839,1.35492421784481,2.98826746387469,9.36852460127981,-4.81654331278468,4.59157020553113
2.901,4.95692858175384,1.47325896153272,3.26009743170409,9.43004574925848,-4.8414365147838,4.62573285154221
3,4.96070158673556,1.59489291434436,3.54045544057286,9.48485112830176,-4.86308411728683,4.65639917442103
3.1,4.96376560306066,1.72340308963851,3.8376218968422,9.53519252387729,-4.88247738371448,4.68477429792465
3.2,4.96623198712826,1.85756064813026,4.14881510323757,9.58095240565854,-4.89964974923079,4.71074971400638
3.3,4.96822319326232,1.99733262218834,4.47400163899554,9.62255073060162,-4.914839856794,4.73452294143218
3.4,4.96983668342949,2.14268251581661,4.81313660110242,9.66036851164478,-4.92826029449195,4.75627572935949
3.5,4.97115001276027,2.29357094260374,5.16616520845973,9.69475155800617,-4.94010522149752,4.77617451271014
3.6,4.97222488177336,2.44995616498992,5.53302417659003,9.72601370972054,-4.95054775171809,4.79437248252024
3.7,4.97311036540764,2.6117945470558,5.91364289850217,9.75443984644183,-4.95974249691772,4.81101055830236
3.8,4.97384548579352,2.77904093375194,6.30794446169817,9.78028858919683,-4.96782682037174,4.82621847168411
3.9,4.97446126187889,2.95164896967083,6.71584652662666,9.80379480128772,-4.97492607967323,4.84011506856464
4,4.97498234209907,3.12957136936279,7.13726208785549,9.82517173771944,-4.98115054191175,4.85280992678202
4.1,4.975428304965,3.31276014413692,7.57210013528916,9.84461309528857,-4.98659958337373,4.86440362061327
4.2,4.97581469489001,3.50116679383835,8.02026623030568,9.8622948122062,-4.99136172141317,4.87498862226428
4.3,4.97615384711668,3.6947424685327,8.48166300909575,9.87837671945008,-4.99551609181238,4.88464987740322
4.4,4.97645554459145,3.8934381050355,8.95619062358014,9.89300402780483,-4.99913318701102,4.89346543861133
4.5,4.97672754096534,4.09720454209255,9.44374712860306,9.90630867988748,-5.00227581025926,4.90150699623509
4.6,4.97697597694373,4.30599261745315,9.94422882273597,9.91841057781546,-5.00500011566756,4.90884033840038
4.7,4.97720571169369,4.51975324947915,10.457530548885,9.92941866243255,-5.0073542141034,4.91552617370851
4.8,4.97742058656778,4.73843750527522,10.9835459599221,9.93943206238221,-5.00938859746454,4.92161887795798
4.9,4.97762363460309,4.961996665438,11.5221677545746,9.94854073633733,-5.01113930907429,4.92716996904977
5,4.97781724796266,5.19038226906394,12.0732878857718,9.95682649334139,-5.01263958647474,4.93222638954166
